Period,Region,DirectTax,IndirectTax
Jul-97,Ilala, -   , -   
Aug-97,Ilala, -   , -   
Sep-97,Ilala, -   , -   
Oct-97,Ilala, -   , -   
Nov-97,Ilala, -   , -   
Dec-97,Ilala, -   , -   
Jan-98,Ilala, -   , -   
Feb-98,Ilala, -   , -   
Mar-98,Ilala, -   , -   
Apr-98,Ilala, -   , -   
May-98,Ilala, -   , -   
Jun-98,Ilala, -   , -   
Jul-98,Ilala, -   , -   
Aug-98,Ilala, -   , -   
Sep-98,Ilala, -   , -   
Oct-98,Ilala, -   , -   
Nov-98,Ilala, -   , -   
Dec-98,Ilala, -   , -   
Jan-99,Ilala, -   , -   
Feb-99,Ilala, -   , -   
Mar-99,Ilala, -   , -   
Apr-99,Ilala, -   , -   
May-99,Ilala, -   , -   
Jun-99,Ilala, -   , -   
Jul-99,Ilala, -   , -   
Aug-99,Ilala, -   , -   
Sep-99,Ilala, -   , -   
Oct-99,Ilala, -   , -   
Nov-99,Ilala, -   , -   
Dec-99,Ilala, -   , -   
Jan-00,Ilala, -   , -   
Feb-00,Ilala, -   , -   
Mar-00,Ilala, -   , -   
Apr-00,Ilala, -   , -   
May-00,Ilala, -   , -   
Jun-00,Ilala, -   , -   
Jul-00,Ilala, -   , -   
Aug-00,Ilala, -   , -   
Sep-00,Ilala, -   , -   
Oct-00,Ilala, -   , -   
Nov-00,Ilala, -   , -   
Dec-00,Ilala, -   , -   
Jan-01,Ilala, -   , -   
Feb-01,Ilala, -   , -   
Mar-01,Ilala, -   , -   
Apr-01,Ilala, -   , -   
May-01,Ilala, -   , -   
Jun-01,Ilala, -   , -   
Jul-01,Ilala, -   , -   
Aug-01,Ilala, -   , -   
Sep-01,Ilala, -   , -   
Oct-01,Ilala, -   , -   
Nov-01,Ilala, -   , -   
Dec-01,Ilala, -   , -   
Jan-02,Ilala, -   , -   
Feb-02,Ilala, -   , -   
Mar-02,Ilala, -   , -   
Apr-02,Ilala, -   , -   
May-02,Ilala, -   , -   
Jun-02,Ilala, -   , -   
Jul-02,Ilala, -   , -   
Aug-02,Ilala, -   , -   
Sep-02,Ilala, -   , -   
Oct-02,Ilala, -   , -   
Nov-02,Ilala, -   , -   
Dec-02,Ilala, -   , -   
Jan-03,Ilala, -   , -   
Feb-03,Ilala, -   , -   
Mar-03,Ilala, -   , -   
Apr-03,Ilala, -   , -   
May-03,Ilala, -   , -   
Jun-03,Ilala, -   , -   
Jul-03,Ilala, -   , -   
Aug-03,Ilala, -   , -   
Sep-03,Ilala, -   , -   
Oct-03,Ilala, -   , -   
